File,Classification,Type,Path,Purpose,Reuse_Notes
package.json,🟡 PARTIALLY REUSABLE,Config,/,Root workspace config,Lucide-react only; add SMS dependencies
README.md,🔴 PROJECT-SPECIFIC,Markdown,/,Konpuk documentation,Replace with SMS-CAM documentation
vercel.json,🟡 PARTIALLY REUSABLE,Config,/,Vercel deployment,Adapt for SMS-CAM
railway.json,🟡 PARTIALLY REUSABLE,Config,/,Railway deployment,Adapt for SMS-CAM
render.yaml,🟡 PARTIALLY REUSABLE,Config,/,Render deployment,Adapt for SMS-CAM
bundle-check.js,🟡 PARTIALLY REUSABLE,Script,/,Build analysis,Reusable pattern
verify-build-strings.js,🟡 PARTIALLY REUSABLE,Script,/,Build verification,Reusable pattern
.gitignore,🟢 REUSABLE,Git Config,/,Git ignore patterns,Use as-is
client/package.json,🟡 PARTIALLY REUSABLE,Config,client/,Frontend dependencies,Adapt for SMS features
client/tsconfig.json,🟡 PARTIALLY REUSABLE,Config,client/,TypeScript config,Use as-is
client/vite.config.ts,🟡 PARTIALLY REUSABLE,Config,client/,Vite build config,Use as-is
client/jest.config.cjs,🟡 PARTIALLY REUSABLE,Config,client/,Jest test config,Use as-is
client/tailwind.config.js,🟡 PARTIALLY REUSABLE,Config,client/,Tailwind CSS config,Customize theme for SMS
client/postcss.config.js,🟡 PARTIALLY REUSABLE,Config,client/,PostCSS config,Use as-is
client/src/main.tsx,🟡 PARTIALLY REUSABLE,TypeScript,client/src/,Entry point,Update app structure
client/src/App.tsx,🔴 PROJECT-SPECIFIC,TypeScript,client/src/,Root component,Replace with SMS root
client/src/index.css,🔴 PROJECT-SPECIFIC,CSS,client/src/,Global styles,Replace with SMS styles
client/src/components/layout/Header.tsx,🟡 PARTIALLY REUSABLE,TypeScript,client/src/components/,Navigation header,Adapt for SMS navigation
client/src/components/layout/Footer.tsx,🟡 PARTIALLY REUSABLE,TypeScript,client/src/components/,Footer,Adapt branding
client/src/components/layout/AdminLayout.tsx,🟡 PARTIALLY REUSABLE,TypeScript,client/src/components/,Admin layout,Keep pattern; customize for SMS admin
client/src/components/ErrorBoundary.tsx,🟢 REUSABLE,TypeScript,client/src/components/,Error boundary,Use as-is
client/src/components/SEO.tsx,🟡 PARTIALLY REUSABLE,TypeScript,client/src/components/,SEO optimization,Adapt for SMS meta tags
client/src/hooks/useAuth.tsx,🟡 PARTIALLY REUSABLE,TypeScript,client/src/hooks/,Auth hook,Adapt for SMS roles (student/teacher/admin)
client/src/hooks/useSocket.ts,🟡 PARTIALLY REUSABLE,TypeScript,client/src/hooks/,WebSocket hook,Adapt for SMS real-time features
client/src/services/api.ts,🟡 PARTIALLY REUSABLE,TypeScript,client/src/services/,Axios base config,Adapt endpoints
client/src/services/auth.api.ts,🟡 PARTIALLY REUSABLE,TypeScript,client/src/services/,Auth endpoints,Adapt for SMS authentication
client/src/services/chat.api.ts,🟡 PARTIALLY REUSABLE,TypeScript,client/src/services/,Chat API,Adapt for SMS messaging
client/src/services/socket.ts,🟡 PARTIALLY REUSABLE,TypeScript,client/src/services/,Socket.io client,Use pattern; update events
client/src/services/upload.api.ts,🟡 PARTIALLY REUSABLE,TypeScript,client/src/services/,File upload API,Adapt for SMS documents
client/src/utils/password.ts,🟢 REUSABLE,TypeScript,client/src/utils/,Password validation,Use as-is
client/src/utils/price.ts,🟡 PARTIALLY REUSABLE,TypeScript,client/src/utils/,Price formatting,Adapt for fees/payments
client/src/setupTests.ts,🟡 PARTIALLY REUSABLE,TypeScript,client/src/,Test setup,Use as-is
client/src/__tests__/auth.api.test.ts,🟡 PARTIALLY REUSABLE,TypeScript,client/src/__tests__/,Auth tests,Adapt for SMS auth
client/src/__mocks__/lucide-react.ts,🟡 PARTIALLY REUSABLE,TypeScript,client/src/__mocks__/,Icon mock,Use as-is
server/package.json,🟡 PARTIALLY REUSABLE,Config,server/,Backend dependencies,Good foundation; add SMS packages
server/tsconfig.json,🟡 PARTIALLY REUSABLE,Config,server/,TypeScript config,Use as-is
server/app.js,🟡 PARTIALLY REUSABLE,JavaScript,server/,Express setup,Keep pattern; adapt middleware
server/server.js,🟡 PARTIALLY REUSABLE,JavaScript,server/,Server entry,Keep pattern; adapt config
server/.env.example,🟡 PARTIALLY REUSABLE,ENV,server/,Environment template,Add SMS-specific variables
server/config/database.js,🟢 REUSABLE,JavaScript,server/config/,MongoDB connection,Use as-is
server/,🟡 PARTIALLY REUSABLE,JavaScript,server/config/,Config aggregator,Keep pattern; add SMS configs
server/config/provinces.js,🟡 PARTIALLY REUSABLE,JavaScript,server/config/,Cambodia locations,Reuse for SMS (schools/districts)
server/models/User.js,🟡 PARTIALLY REUSABLE,JavaScript,server/models/,User schema,Adapt for student/teacher roles
server/models/Chat.js,🟡 PARTIALLY REUSABLE,JavaScript,server/models/,Chat schema,Adapt for SMS messaging
server/models/Message.js,🟡 PARTIALLY REUSABLE,JavaScript,server/models/,Message schema,Adapt for SMS messages
server/models/Admin.js,🟡 PARTIALLY REUSABLE,JavaScript,server/models/,Admin schema,Adapt for SMS admin
server/models/AuditLog.js,🟢 REUSABLE,JavaScript,server/models/,Audit logging,Use as-is
server/models/Product.js,🔴 PROJECT-SPECIFIC,JavaScript,server/models/,Product schema,REPLACE with Student/Teacher/Class models
server/models/Review.js,🔴 PROJECT-SPECIFIC,JavaScript,server/models/,Review schema,REPLACE with Grade/Feedback models
